SECCION,LISTA_NOMINAL_2026,HOMBRES_2026,MUJERES_2026,ESTRUCTURA_IZQUIERDA_2012,ESTRUCTURA_IZQUIERDA_2015,ESTRUCTURA_IZQUIERDA_2018,ESTRUCTURA_IZQUIERDA_2021,ESTRUCTURA_IZQUIERDA_2024,ESTRUCTURA_TRADICIONAL_2012,ESTRUCTURA_TRADICIONAL_2015,ESTRUCTURA_TRADICIONAL_2018,ESTRUCTURA_TRADICIONAL_2021,ESTRUCTURA_TRADICIONAL_2024,LISTA_NOMINAL_HIST_2012,LISTA_NOMINAL_HIST_2015,LISTA_NOMINAL_HIST_2018,LISTA_NOMINAL_HIST_2021,LISTA_NOMINAL_HIST_2024,PARTICIPACION_PCT_2012,PARTICIPACION_PCT_2015,PARTICIPACION_PCT_2018,PARTICIPACION_PCT_2021,PARTICIPACION_PCT_2024,VOTOS_MC_2012,VOTOS_MC_2015,VOTOS_MC_2018,VOTOS_MC_2021,VOTOS_MC_2024,VOTOS_NULOS_2012,VOTOS_NULOS_2015,VOTOS_NULOS_2018,VOTOS_NULOS_2021,VOTOS_NULOS_2024,VOTOS_TOTALES_2012,VOTOS_TOTALES_2015,VOTOS_TOTALES_2018,VOTOS_TOTALES_2021,VOTOS_TOTALES_2024,ESTRUCTURA_IZQUIERDA_2017_EST,ESTRUCTURA_IZQUIERDA_2023_EST,ESTRUCTURA_TRADICIONAL_2017_EST,ESTRUCTURA_TRADICIONAL_2023_EST,LISTA_NOMINAL_HIST_2017_EST,LISTA_NOMINAL_HIST_2023_EST,VOTOS_TOTALES_2017_EST,VOTOS_TOTALES_2023_EST,ELECTORES_MENORES_25,VOTO_DURO_TRADICIONAL,VOTO_DURO_IZQUIERDA,ORFANDAD_NARANJA,VOLATILIDAD_PSI,ABSTENCION_PROYECTADA_2026,INDICE_IRC,INDICE_IEE,VOTOS_TOTALES_PROYECTADOS_2026
5387,1935.0,897.0,1038.0,462.0,95.0,440.0,357.0,694.0,816.0,578.0,4303.0,4289.0,4793.0,0.0,0.0,1643.0,1792.0,1927.0,0.0,0.0,71.03,46.82,58.23,18.0,23.0,28.0,22.0,83.0,71.0,26.0,51.0,25.0,38.0,866.0,712.0,1167.0,839.0,1122.0,241.0,569.0,3913.0,4678.0,1544.0,1865.0,924.0,976.0,477.0,3338.5714285714284,408.2857142857143,146.0,0.33043478260869563,805.0,100.0,23.03,102
5390,5482.0,2626.0,2856.0,1225.0,245.0,1284.0,1279.0,2189.0,2095.0,1359.0,11391.0,11806.0,13372.0,0.0,0.0,4388.0,4808.0,5336.0,0.0,0.0,68.73,52.83,63.87,17.0,38.0,59.0,50.0,286.0,113.0,78.0,97.0,76.0,115.0,2211.0,1738.0,3016.0,2540.0,3408.0,679.0,2046.0,10378.0,13935.0,4121.0,5129.0,2456.0,3778.0,1041.0,9190.857142857143,1278.142857142857,0.0,1.0,1928.0,100.0,50.0,429
5391,3142.0,1490.0,1652.0,732.0,103.0,681.0,620.0,1142.0,1198.0,741.0,6547.0,6884.0,7628.0,0.0,0.0,2507.0,2764.0,3092.0,0.0,0.0,68.01,53.26,58.76,20.0,14.0,26.0,28.0,156.0,48.0,45.0,58.0,31.0,53.0,1233.0,920.0,1705.0,1472.0,1817.0,437.0,859.0,5960.0,7453.0,2350.0,2958.0,1407.0,1585.0,608.0,5201.571428571428,653.4285714285714,232.0,0.4608695652173913,1275.0,100.0,29.43,201
5392,3393.0,1601.0,1792.0,762.0,90.0,765.0,680.0,1261.0,1180.0,813.0,7056.0,7298.0,8361.0,0.0,0.0,2718.0,2981.0,3346.0,0.0,0.0,68.62,49.92,60.1,4.0,9.0,26.0,35.0,156.0,53.0,44.0,72.0,35.0,53.0,1191.0,956.0,1865.0,1488.0,2011.0,391.0,1035.0,6414.0,8127.0,2537.0,3204.0,1487.0,1775.0,634.0,5607.0,712.0,236.0,0.4608695652173913,1335.0,100.0,28.91,201
5393,3506.0,1682.0,1824.0,724.0,131.0,881.0,788.0,1454.0,1161.0,940.0,7003.0,7056.0,8414.0,0.0,0.0,2683.0,2899.0,3350.0,0.0,0.0,68.62,48.5,63.13,12.0,19.0,34.0,19.0,147.0,87.0,26.0,60.0,32.0,50.0,1225.0,1113.0,1841.0,1406.0,2115.0,489.0,1090.0,6444.0,8012.0,2553.0,3188.0,1470.0,1667.0,635.0,5575.714285714285,793.8571428571429,448.0,0.43478260869565216,1235.0,100.0,32.33,194
5394,4341.0,2032.0,2309.0,862.0,187.0,927.0,761.0,1178.0,1796.0,1297.0,9857.0,10170.0,11295.0,0.0,0.0,3741.0,4036.0,4359.0,0.0,0.0,73.03,57.93,68.91,28.0,50.0,66.0,47.0,229.0,62.0,74.0,89.0,47.0,45.0,1884.0,1623.0,2732.0,2338.0,3004.0,539.0,929.0,9074.0,11062.0,3522.0,4263.0,2212.0,2598.0,762.0,7793.0,769.0,406.0,0.391304347826087,1355.0,100.0,26.32,289
5395,1518.0,716.0,802.0,383.0,60.0,290.0,259.0,547.0,609.0,452.0,3308.0,3226.0,3675.0,0.0,0.0,1258.0,1353.0,1476.0,0.0,0.0,72.66,46.42,59.21,27.0,20.0,17.0,15.0,76.0,44.0,26.0,52.0,23.0,30.0,635.0,592.0,914.0,628.0,874.0,157.0,460.0,2909.0,3573.0,1163.0,1433.0,690.0,736.0,309.0,2536.0,308.0,138.0,0.2608695652173913,602.0,100.0,20.94,91
5397,4538.0,2106.0,2432.0,1243.0,142.0,802.0,681.0,1496.0,1663.0,1128.0,9300.0,9340.0,10951.0,0.0,0.0,3655.0,3999.0,4495.0,0.0,0.0,63.34,39.16,54.48,24.0,18.0,49.0,34.0,215.0,74.0,61.0,100.0,55.0,81.0,1729.0,1369.0,2315.0,1566.0,2449.0,419.0,1063.0,8296.0,10460.0,3433.0,4294.0,1627.0,1963.0,781.0,7305.428571428572,835.1428571428571,486.0,0.7043478260869566,2046.0,100.0,45.14,312
5404,4518.0,2107.0,2411.0,1112.0,151.0,852.0,730.0,1187.0,1646.0,1024.0,9252.0,9341.0,10423.0,0.0,0.0,3598.0,3944.0,4391.0,0.0,0.0,66.48,44.14,45.66,24.0,30.0,67.0,46.0,165.0,77.0,43.0,97.0,73.0,57.0,1706.0,1266.0,2392.0,1741.0,2005.0,477.0,1127.0,8353.0,10425.0,3352.0,4224.0,1853.0,2040.0,792.0,7209.142857142857,805.1428571428571,0.0,0.4956521739130435,2386.0,100.0,24.78,205
5405,3257.0,1549.0,1708.0,880.0,133.0,802.0,751.0,1297.0,1568.0,973.0,7454.0,7422.0,8379.0,0.0,0.0,2876.0,3072.0,3299.0,0.0,0.0,70.93,48.96,66.26,22.0,21.0,51.0,27.0,227.0,83.0,49.0,85.0,46.0,50.0,1651.0,1185.0,2040.0,1504.0,2186.0,479.0,1065.0,6987.0,8188.0,2732.0,3213.0,1704.0,1818.0,436.0,5853.0,772.4285714285714,368.0,0.43478260869565216,1113.0,100.0,30.16,295
