SECCION,LISTA_NOMINAL_2026,HOMBRES_2026,MUJERES_2026
5418,3526.0,1651.0,1875.0
5439,4531.0,2202.0,2329.0
6909,3006.0,1448.0,1558.0
6910,499.0,261.0,238.0
6911,2613.0,1273.0,1340.0
7223,1877.0,911.0,966.0
7224,902.0,402.0,500.0
7225,2111.0,985.0,1126.0
7226,2159.0,1013.0,1146.0
5194,407.0,207.0,200.0
5195,160.0,74.0,86.0
5196,310.0,134.0,176.0
5197,336.0,150.0,186.0
5198,1241.0,558.0,683.0
5199,588.0,252.0,336.0
5200,757.0,336.0,421.0
5205,585.0,273.0,312.0
5206,718.0,320.0,398.0
5207,614.0,288.0,326.0
5208,224.0,106.0,118.0
5209,299.0,149.0,150.0
5210,393.0,182.0,211.0
5211,436.0,206.0,230.0
5212,254.0,111.0,143.0
5213,900.0,413.0,487.0
5214,1176.0,506.0,670.0
5215,758.0,299.0,459.0
5216,759.0,322.0,437.0
5217,1005.0,459.0,546.0
5218,1172.0,526.0,646.0
5219,1319.0,595.0,724.0
5220,1002.0,426.0,576.0
5221,772.0,350.0,422.0
5222,819.0,366.0,453.0
5223,964.0,449.0,515.0
5224,830.0,397.0,433.0
5225,738.0,331.0,407.0
5226,938.0,420.0,518.0
5227,1191.0,548.0,643.0
5228,1024.0,463.0,561.0
5229,994.0,458.0,536.0
5230,685.0,297.0,388.0
5231,1304.0,624.0,680.0
5232,1400.0,682.0,718.0
5233,760.0,351.0,409.0
5234,832.0,356.0,476.0
5235,984.0,439.0,545.0
5236,1403.0,623.0,780.0
5237,1538.0,675.0,863.0
5238,845.0,372.0,473.0
5239,815.0,369.0,446.0
5240,1279.0,546.0,733.0
5241,1100.0,501.0,599.0
5242,1403.0,608.0,795.0
5243,993.0,478.0,515.0
5244,1243.0,561.0,682.0
5245,1330.0,605.0,725.0
5246,960.0,446.0,514.0
5247,784.0,367.0,417.0
5248,1884.0,854.0,1030.0
5249,1106.0,509.0,597.0
5250,1170.0,568.0,602.0
5251,1490.0,684.0,806.0
5252,1446.0,678.0,768.0
5253,1055.0,472.0,583.0
5254,1315.0,629.0,686.0
5255,1747.0,821.0,926.0
5256,1655.0,763.0,892.0
5257,1617.0,768.0,849.0
5258,1796.0,821.0,975.0
5259,1605.0,749.0,856.0
5260,1202.0,516.0,686.0
5261,2913.0,1353.0,1560.0
5262,1735.0,783.0,952.0
5263,2310.0,1053.0,1257.0
5264,1721.0,790.0,931.0
5265,1779.0,801.0,978.0
5307,960.0,424.0,536.0
5312,1016.0,451.0,565.0
5313,1373.0,641.0,732.0
5314,1491.0,671.0,820.0
5315,663.0,289.0,374.0
5316,2390.0,1089.0,1300.0
5317,5299.0,2483.0,2816.0
