SECCION,ANIO,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_MC,VOTOS_NULOS,VOTOS_TOTALES,LISTA_NOMINAL_HIST,PARTICIPACION_PCT
5186,2015,761.0,146.0,21.0,48.0,1033.0,0.0,0.0
5186,2018,4973.0,561.0,34.0,23.0,1395.0,1890.0,73.81
5186,2021,4775.0,480.0,35.0,22.0,1137.0,1893.0,60.06
5186,2024,5045.0,545.0,118.0,23.0,1417.0,1898.0,74.66
5187,2012,864.0,475.0,10.0,53.0,889.0,0.0,0.0
5187,2015,548.0,96.0,29.0,42.0,723.0,0.0,0.0
5187,2018,3806.0,397.0,30.0,23.0,1031.0,1456.0,70.81
5187,2021,3683.0,361.0,17.0,17.0,837.0,1478.0,56.63
5187,2024,3933.0,462.0,88.0,12.0,1003.0,1527.0,65.68
5188,2012,1736.0,889.0,26.0,96.0,1847.0,0.0,0.0
5188,2015,1196.0,203.0,30.0,55.0,1498.0,0.0,0.0
5188,2018,7627.0,859.0,42.0,36.0,2112.0,2894.0,72.98
5188,2021,7672.0,758.0,37.0,38.0,1836.0,3027.0,60.65
5188,2024,8170.0,973.0,143.0,45.0,2154.0,3137.0,68.66
5189,2012,1029.0,551.0,15.0,39.0,1050.0,0.0,0.0
5189,2015,669.0,77.0,18.0,35.0,800.0,0.0,0.0
5189,2018,4108.0,420.0,23.0,20.0,1139.0,1554.0,73.29
5189,2021,4104.0,429.0,32.0,25.0,1014.0,1610.0,62.98
5189,2024,4341.0,536.0,76.0,27.0,1167.0,1649.0,70.77
5190,2012,1393.0,872.0,23.0,66.0,1445.0,0.0,0.0
5190,2015,1046.0,150.0,25.0,36.0,1273.0,0.0,0.0
5190,2018,6629.0,720.0,42.0,64.0,1796.0,2546.0,70.54
5190,2021,6225.0,411.0,21.0,27.0,1072.0,2632.0,40.73
5190,2024,7016.0,961.0,154.0,43.0,1802.0,2758.0,65.34
5191,2012,1246.0,586.0,41.0,42.0,1315.0,0.0,0.0
5191,2015,874.0,157.0,29.0,45.0,1095.0,0.0,0.0
5191,2018,4813.0,568.0,35.0,20.0,1402.0,1788.0,78.41
5191,2021,4767.0,506.0,17.0,32.0,1235.0,1835.0,67.3
5191,2024,5023.0,493.0,98.0,37.0,1475.0,1852.0,79.64
5192,2012,982.0,479.0,19.0,25.0,994.0,0.0,0.0
5192,2015,646.0,92.0,25.0,26.0,799.0,0.0,0.0
5192,2018,3599.0,419.0,18.0,18.0,1055.0,1341.0,78.67
5192,2021,3538.0,339.0,24.0,14.0,902.0,1361.0,66.27
5192,2024,3712.0,315.0,62.0,16.0,1039.0,1376.0,75.51
5193,2012,963.0,455.0,25.0,24.0,983.0,0.0,0.0
5193,2015,573.0,98.0,27.0,33.0,751.0,0.0,0.0
5193,2018,3405.0,397.0,20.0,23.0,996.0,1274.0,78.18
5193,2021,3296.0,342.0,23.0,15.0,817.0,1275.0,64.08
5193,2024,3362.0,294.0,79.0,24.0,921.0,1274.0,72.29
5194,2012,357.0,150.0,3.0,8.0,324.0,0.0,0.0
5194,2015,161.0,35.0,8.0,8.0,220.0,0.0,0.0
5194,2018,1054.0,130.0,6.0,6.0,287.0,398.0,72.11
5194,2021,1066.0,106.0,6.0,2.0,273.0,408.0,66.91
5194,2024,1098.0,108.0,20.0,4.0,300.0,400.0,75.0
5195,2012,145.0,44.0,2.0,7.0,116.0,0.0,0.0
5195,2015,98.0,13.0,1.0,4.0,114.0,0.0,0.0
5195,2018,538.0,50.0,1.0,1.0,151.0,192.0,78.65
5195,2021,519.0,50.0,2.0,1.0,124.0,193.0,64.25
5195,2024,499.0,36.0,8.0,1.0,133.0,173.0,76.88
5196,2012,336.0,149.0,1.0,11.0,308.0,0.0,0.0
5196,2015,180.0,30.0,8.0,17.0,225.0,0.0,0.0
5196,2018,1028.0,96.0,3.0,7.0,280.0,384.0,72.92
5196,2021,942.0,56.0,7.0,6.0,203.0,366.0,55.46
5196,2024,926.0,78.0,16.0,3.0,241.0,341.0,70.67
5197,2012,344.0,165.0,5.0,13.0,313.0,0.0,0.0
5197,2015,199.0,37.0,4.0,10.0,252.0,0.0,0.0
5197,2018,1186.0,115.0,11.0,6.0,332.0,436.0,76.15
5197,2021,1061.0,86.0,7.0,5.0,245.0,409.0,59.9
