SECCION,ANIO,TIPO_ELECCION,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_TOTALES,LISTA_NOMINAL_HIST
5394,2017,GUBERNATURA,9074.0,539.0,2212.0,3522.0
5394,2023,GUBERNATURA,11062.0,929.0,2598.0,4263.0
5395,2017,GUBERNATURA,2909.0,157.0,690.0,1163.0
5395,2023,GUBERNATURA,3573.0,460.0,736.0,1433.0
5396,2017,GUBERNATURA,4744.0,287.0,1191.0,1824.0
5396,2023,GUBERNATURA,5666.0,707.0,1310.0,2191.0
5397,2017,GUBERNATURA,8296.0,419.0,1627.0,3433.0
5397,2023,GUBERNATURA,10460.0,1063.0,1963.0,4294.0
5398,2017,GUBERNATURA,7286.0,638.0,1793.0,2815.0
5398,2023,GUBERNATURA,8867.0,1323.0,2144.0,3383.0
5399,2017,GUBERNATURA,8129.0,623.0,2040.0,3141.0
5399,2023,GUBERNATURA,9359.0,1442.0,2340.0,3536.0
5400,2017,GUBERNATURA,5156.0,433.0,1298.0,2000.0
5400,2023,GUBERNATURA,5799.0,903.0,1430.0,2195.0
5401,2017,GUBERNATURA,7763.0,393.0,1895.0,3028.0
5401,2023,GUBERNATURA,9329.0,953.0,2192.0,3596.0
5402,2017,GUBERNATURA,4578.0,314.0,1117.0,1789.0
5402,2023,GUBERNATURA,5121.0,685.0,1151.0,2003.0
5403,2017,GUBERNATURA,6506.0,505.0,1590.0,2539.0
5403,2023,GUBERNATURA,8437.0,1281.0,2072.0,3210.0
5404,2017,GUBERNATURA,8353.0,477.0,1853.0,3352.0
5404,2023,GUBERNATURA,10425.0,1127.0,2040.0,4224.0
5405,2017,GUBERNATURA,6987.0,479.0,1704.0,2732.0
5405,2023,GUBERNATURA,8188.0,1065.0,1818.0,3213.0
5406,2017,GUBERNATURA,6317.0,410.0,1485.0,2484.0
5406,2023,GUBERNATURA,7841.0,1018.0,1823.0,3051.0
5407,2017,GUBERNATURA,6454.0,404.0,1496.0,2567.0
5407,2023,GUBERNATURA,7767.0,1030.0,1725.0,3048.0
5408,2017,GUBERNATURA,5946.0,421.0,1415.0,2338.0
5408,2023,GUBERNATURA,7087.0,928.0,1627.0,2753.0
5409,2017,GUBERNATURA,4836.0,307.0,1141.0,1923.0
5409,2023,GUBERNATURA,6024.0,710.0,1209.0,2432.0
5410,2017,GUBERNATURA,9741.0,609.0,2176.0,3894.0
5410,2023,GUBERNATURA,12608.0,1467.0,2448.0,5117.0
5411,2017,GUBERNATURA,7026.0,406.0,1542.0,2804.0
5411,2023,GUBERNATURA,7817.0,979.0,1633.0,3115.0
5412,2017,GUBERNATURA,7632.0,466.0,1643.0,3075.0
5412,2023,GUBERNATURA,9256.0,1139.0,1905.0,3700.0
5413,2017,GUBERNATURA,2481.0,144.0,591.0,963.0
5413,2023,GUBERNATURA,2749.0,367.0,577.0,1092.0
5414,2017,GUBERNATURA,12201.0,842.0,2754.0,4835.0
5414,2023,GUBERNATURA,14361.0,1607.0,3057.0,5697.0
5415,2017,GUBERNATURA,7623.0,605.0,1752.0,3021.0
5415,2023,GUBERNATURA,8980.0,1103.0,1908.0,3561.0
5416,2017,GUBERNATURA,10747.0,743.0,2426.0,4257.0
5416,2023,GUBERNATURA,12579.0,1346.0,2640.0,5001.0
5417,2017,GUBERNATURA,13961.0,894.0,3215.0,5517.0
5417,2023,GUBERNATURA,16322.0,1764.0,3592.0,6418.0
5418,2017,GUBERNATURA,7706.0,533.0,1742.0,3061.0
5418,2023,GUBERNATURA,8954.0,1069.0,1918.0,3545.0
5439,2017,GUBERNATURA,8518.0,526.0,2011.0,3352.0
5439,2023,GUBERNATURA,10581.0,1252.0,2243.0,4201.0
5441,2023,GUBERNATURA,5278.0,556.0,1069.0,2127.0
5442,2023,GUBERNATURA,6249.0,645.0,1219.0,2549.0
6433,2017,GUBERNATURA,1083.0,35.0,227.0,436.0
6433,2023,GUBERNATURA,1283.0,148.0,247.0,521.0
6434,2017,GUBERNATURA,1898.0,162.0,475.0,742.0
6434,2023,GUBERNATURA,2310.0,221.0,556.0,884.0
6435,2017,GUBERNATURA,1817.0,133.0,422.0,718.0
6435,2023,GUBERNATURA,2330.0,233.0,582.0,879.0
6436,2017,GUBERNATURA,1649.0,85.0,393.0,655.0
6436,2023,GUBERNATURA,1985.0,235.0,441.0,778.0
6437,2017,GUBERNATURA,1848.0,131.0,450.0,719.0
6437,2023,GUBERNATURA,2241.0,230.0,555.0,847.0
6438,2017,GUBERNATURA,1402.0,92.0,339.0,552.0
6438,2023,GUBERNATURA,1947.0,243.0,441.0,764.0
6439,2017,GUBERNATURA,3447.0,279.0,775.0,1353.0
6439,2023,GUBERNATURA,4976.0,371.0,1145.0,1928.0
6440,2017,GUBERNATURA,1088.0,73.0,278.0,413.0
6440,2023,GUBERNATURA,1461.0,188.0,360.0,554.0
6441,2017,GUBERNATURA,1989.0,133.0,467.0,773.0
6441,2023,GUBERNATURA,2448.0,230.0,585.0,940.0
6442,2017,GUBERNATURA,2329.0,210.0,591.0,892.0
6442,2023,GUBERNATURA,5455.0,384.0,1245.0,2117.0
6443,2017,GUBERNATURA,1397.0,71.0,362.0,549.0
6443,2023,GUBERNATURA,1556.0,175.0,349.0,608.0
6444,2017,GUBERNATURA,1397.0,106.0,332.0,548.0
6444,2023,GUBERNATURA,1684.0,150.0,389.0,651.0
6445,2017,GUBERNATURA,1457.0,104.0,357.0,563.0
6445,2023,GUBERNATURA,1785.0,171.0,437.0,681.0
6446,2017,GUBERNATURA,1376.0,109.0,340.0,532.0
6446,2023,GUBERNATURA,1805.0,199.0,425.0,694.0
6447,2017,GUBERNATURA,1084.0,59.0,256.0,429.0
6447,2023,GUBERNATURA,1378.0,153.0,295.0,549.0
6448,2017,GUBERNATURA,1885.0,146.0,459.0,727.0
6448,2023,GUBERNATURA,2584.0,195.0,623.0,988.0
6449,2017,GUBERNATURA,1216.0,116.0,330.0,459.0
6449,2023,GUBERNATURA,1628.0,125.0,413.0,611.0
6450,2017,GUBERNATURA,2108.0,155.0,539.0,813.0
6450,2023,GUBERNATURA,2569.0,258.0,634.0,975.0
6451,2017,GUBERNATURA,1173.0,103.0,306.0,445.0
6451,2023,GUBERNATURA,1434.0,102.0,357.0,541.0
6452,2017,GUBERNATURA,1466.0,115.0,359.0,569.0
6452,2023,GUBERNATURA,1734.0,153.0,441.0,648.0
6453,2017,GUBERNATURA,1299.0,71.0,340.0,506.0
6453,2023,GUBERNATURA,1654.0,176.0,403.0,633.0
6454,2017,GUBERNATURA,1200.0,87.0,279.0,470.0
6454,2023,GUBERNATURA,1520.0,141.0,365.0,581.0
6455,2017,GUBERNATURA,2154.0,171.0,531.0,839.0
6455,2023,GUBERNATURA,2547.0,254.0,622.0,970.0
6456,2017,GUBERNATURA,2193.0,183.0,560.0,844.0
6456,2023,GUBERNATURA,2534.0,242.0,605.0,968.0
6457,2017,GUBERNATURA,1250.0,91.0,298.0,488.0
6457,2023,GUBERNATURA,1425.0,140.0,327.0,553.0
6458,2017,GUBERNATURA,1408.0,105.0,346.0,543.0
6458,2023,GUBERNATURA,1538.0,170.0,385.0,581.0
6459,2017,GUBERNATURA,1977.0,160.0,487.0,771.0
6459,2023,GUBERNATURA,2475.0,253.0,622.0,932.0
6460,2017,GUBERNATURA,2119.0,173.0,483.0,849.0
6460,2023,GUBERNATURA,2552.0,281.0,577.0,994.0
6461,2017,GUBERNATURA,1605.0,104.0,411.0,615.0
6461,2023,GUBERNATURA,1820.0,171.0,472.0,677.0
6462,2017,GUBERNATURA,1772.0,139.0,428.0,686.0
6462,2023,GUBERNATURA,2116.0,212.0,532.0,798.0
6516,2023,GUBERNATURA,3358.0,374.0,594.0,1388.0
6671,2023,GUBERNATURA,7028.0,818.0,1434.0,2826.0
6672,2023,GUBERNATURA,3985.0,348.0,922.0,1545.0
