SECCION,ANIO,TIPO_ELECCION,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_TOTALES,LISTA_NOMINAL_HIST
5215,2023,GUBERNATURA,2141.0,147.0,557.0,799.0
5216,2017,GUBERNATURA,2106.0,164.0,593.0,770.0
5216,2023,GUBERNATURA,2057.0,129.0,577.0,746.0
5217,2017,GUBERNATURA,2823.0,259.0,764.0,1052.0
5217,2023,GUBERNATURA,2899.0,289.0,790.0,1065.0
5218,2017,GUBERNATURA,3374.0,246.0,918.0,1247.0
5218,2023,GUBERNATURA,3359.0,245.0,960.0,1213.0
5219,2017,GUBERNATURA,3904.0,253.0,1100.0,1440.0
5219,2023,GUBERNATURA,3905.0,292.0,1092.0,1416.0
5220,2017,GUBERNATURA,2872.0,193.0,794.0,1067.0
5220,2023,GUBERNATURA,2927.0,219.0,778.0,1078.0
5221,2017,GUBERNATURA,2199.0,146.0,610.0,811.0
5221,2023,GUBERNATURA,2163.0,134.0,590.0,796.0
5222,2017,GUBERNATURA,2422.0,179.0,621.0,923.0
5222,2023,GUBERNATURA,2407.0,217.0,662.0,880.0
5223,2017,GUBERNATURA,2827.0,235.0,712.0,1082.0
5223,2023,GUBERNATURA,2865.0,269.0,741.0,1071.0
5224,2017,GUBERNATURA,2505.0,195.0,661.0,941.0
5224,2023,GUBERNATURA,2454.0,200.0,633.0,918.0
5225,2017,GUBERNATURA,2366.0,171.0,623.0,888.0
5225,2023,GUBERNATURA,2215.0,187.0,608.0,812.0
5226,2017,GUBERNATURA,2863.0,218.0,759.0,1078.0
5226,2023,GUBERNATURA,2859.0,200.0,863.0,1009.0
5227,2017,GUBERNATURA,3279.0,261.0,890.0,1224.0
5227,2023,GUBERNATURA,3325.0,256.0,866.0,1236.0
5228,2017,GUBERNATURA,2637.0,178.0,705.0,990.0
5228,2023,GUBERNATURA,2754.0,235.0,732.0,1022.0
5229,2017,GUBERNATURA,2602.0,222.0,714.0,974.0
5229,2023,GUBERNATURA,2799.0,239.0,718.0,1049.0
5230,2017,GUBERNATURA,2053.0,152.0,567.0,762.0
5230,2023,GUBERNATURA,1950.0,148.0,533.0,715.0
5231,2017,GUBERNATURA,3793.0,271.0,992.0,1434.0
5231,2023,GUBERNATURA,3551.0,284.0,940.0,1319.0
5232,2017,GUBERNATURA,4345.0,301.0,1109.0,1649.0
5232,2023,GUBERNATURA,4112.0,322.0,1052.0,1542.0
